,id,name,summary,host_id,host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood_cleansed,city,state,zipcode,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating_new,review_scores_accuracy_new,review_scores_cleanliness_new,review_scores_checkin_new,review_scores_communication_new,review_scores_location_new,review_scores_value_new,reviews_per_month_category,price_range
1721,6738004,Beautiful historic 4 BR Row House!,Beautiful historic 4 BR row house in a great neighborhood and central to everything. This home boasts lots of amenities with 3 levels featuring 2 full baths and 2 half baths. There are 3 queen beds and a twin. The home comfortably sleeps 7.,28578057,01/03/2015,f,2,t,f,"15th St, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94396285,-77.03532653,f,House,Entire home/apt,7,Real Bed,240,250,185,7,40,2,120,21,47,72,347,11,20/06/2015,01/10/2015,t,moderate,f,f,1,3.11,93,10,10,10,9,9,9,Medium,0200-0250
1722,2187594,Light Bright LowerLevel MasterSuite,"New renovation of my lower level available. The unit opens into the living area, complete with kitchenette/wet bar and separate bedroom area. Full bath with double vanities and shower. Good space for 2 adults or small family.May be too cozy for more ",11154497,09/01/2014,t,1,t,t,"13th Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.95247812,-77.02978795,t,House,Private room,2,Real Bed,68,0,0,2,25,7,1125,1,14,35,280,22,01/06/2014,15/09/2015,f,strict,f,f,1,1.35,99,10,10,10,10,9,10,Medium,0050-0075
1723,5669165,Conveniently located near Metro,"Only 4 blocks from the Georgia/Petworth metro station in the green/yellow line.  Bus stop right in front of the house.  City bikes available, right in front of the house.  Restaurants and shops withing walking distance.  Free  internet. available.",29390529,15/03/2015,f,4,t,t,"9th Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94164936,-77.02533076,t,House,Private room,2,Real Bed,65,0,0,1,0,1,1125,8,38,62,337,20,17/03/2015,30/08/2015,f,flexible,f,f,4,2.99,83,8,7,9,9,9,8,Medium,0050-0075
1724,7676154,Spacious and Quiet City Living,Family Friendly 100 year Home with those period charms. The Majority of the House is open for your enjoyment. Our home is minutes away from all of DCs best attractions  and nightlife while  residing on a quiet city block. 5 day rental minimum.,37327525,02/07/2015,f,1,t,f,"Delafield Place Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94995322,-77.03127472,t,House,Entire home/apt,8,Real Bed,395,0,0,1,0,3,1125,0,0,0,35,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0350-0500
1725,8446143,538 Ingraham St. N.W..,"A freshly renovated townhouse in North West Washington, D.C.",44468547,17/09/2015,f,1,t,t,"Ingraham Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.95351143,-77.0221165,t,House,Entire home/apt,6,Airbed,525,0,0,1,0,2,4,0,0,0,0,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0500-1000
1726,5997677,Cozy room in Petworth,"Special prices for the Fall season. Send us an email! Our amazing house has 2 bedrooms and 2 full bathrooms. Location: Petworth. 1 mile to Rock Creek Park, 2 miles to Columbia Heights. Bus/metro access w/in walking distance. Free street parking",3676388,25/09/2012,t,1,t,f,"Longfellow Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.95687881,-77.01796321,t,House,Private room,2,Real Bed,100,0,0,1,30,2,1125,30,60,90,365,2,19/04/2015,17/05/2015,f,moderate,f,f,1,0.36,100,10,10,10,10,9,9,Low,0100-0125
1727,8222951,Spacious & Artsy DC Studio,This is a spacious studio apartment in which the sleeping area is separated from the living room. The place is decorated artistically with the combination of modern and antique furniture. Ideal place for people looking for experiential stays.,19379151,03/08/2014,f,1,t,t,"Connecticut Avenue Northwest, Washington, DC 20008, United States","North Cleveland Park, Forest Hills, Van Ness",Washington,DC,20008,"Washington, DC",38.95322472,-77.06998075,t,Apartment,Entire home/apt,2,Real Bed,75,200,20,1,20,2,1125,0,3,10,22,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0075-0100
1728,5446856,Only a few steps away from metro,"       Our apartment is only a short 5- minute walk to the Van Ness Metro Station on the Red line, and a 15-minute walk away to Cleveland Park. Only two metro stops away from the Marriot and Omni Hotels. Large supermarket and restaurants nearby.  ",4997853,07/02/2013,f,2,t,t,"Van Ness Street Northwest, Washington, DC 20008, United States","North Cleveland Park, Forest Hills, Van Ness",Washington,DC,20008,"Washington, DC",38.94244017,-77.06031244,t,Apartment,Entire home/apt,3,Real Bed,120,0,0,1,0,2,20,0,0,0,195,4,12/03/2015,06/07/2015,f,flexible,f,f,1,0.58,95,10,9,10,10,9,10,Low,0100-0125
1729,8303994,Embassies district 1br near metro,"The apartment occupies the first floor of a resort-like home in Forrest Hills area, where many ambassadors chose to have their home residencies. Located 7 min walk to red line metro, with 8 min metro ride to Farragut North/White House. Free parking.",14692970,24/04/2014,f,8,t,t,"Audubon Terrace Northwest, Washington, DC 20008, United States","North Cleveland Park, Forest Hills, Van Ness",Washington,DC,20008,"Washington, DC",38.94664905,-77.06073404,t,Apartment,Entire home/apt,3,Real Bed,91,190,55,2,20,4,1125,26,29,59,167,0,0,0,f,moderate,f,f,7,0,0,0,0,0,0,0,0,None,0075-0100
1730,4129295,Tranquility DC,"This beautiful and spacious room with a balcony includes a queen sized Tempur-Pedic bed, high speed wifi, and a great view! You're on top of the Metro and surrounded by attractions and restaurants. You'll love it here!",20530337,25/08/2014,t,1,t,f,"Van Ness Street Northwest, Washington, DC 20008, United States","North Cleveland Park, Forest Hills, Van Ness",Washington,DC,20008,"Washington, DC",38.94523973,-77.06266896,t,Apartment,Private room,2,Real Bed,112,500,0,1,20,1,1125,13,42,42,196,47,28/09/2014,29/09/2015,f,moderate,f,f,1,3.8,98,10,10,10,10,10,10,Medium,0100-0125
